71.4877, 50.2108, -72.5328	-275.804, -317.162, -194.753
58.9551, 50.2934, -81.2521	-272.858, -321.669, -191.239
58.519, 50.1432, -80.885	-272.438, -321.77, -190.666
63.6045, 50.7068, -76.9508	265.29, 139.879, 346.515
63.6045, 50.7068, -76.9508	265.29, 139.879, 346.515
48.5783, 48.4955, -85.56	-270.47, -323.912, -188.38
63.5237, 49.8951, -78.878	86.464, 40.694, -192.451
75.7064, 50.0795, -69.3992	-277.445, -316.143, -196.828
70.9935, 50.6776, -74.8024	-275.78, -317.981, -194.691
43.1566, 47.9107, -88.1834	90.6405, 33.3129, 172.525
62.0561, 50.5878, -82.7428	-273.066, -321.474, -191.655
78.3969, 51.1833, -66.7966	-278.934, -315.155, -197.858
74.6158, 50.2085, -74.0969	-276.325, -317.003, 164.548
77.5701, 52.0399, -66.3096	-278.814, -315.58, 162.388
44.1752, 46.4386, -87.0035	-268.347, -324.615, -186.118
79.2898, 51.0866, -65.9309	81.1458, 45.6505, 162.212
90.5282, 48.707, -50.144	-285.262, -310.727, -205.641
67.2367, 53.1763, -70.5071	263.46, 138.305, 345.962
77.6202, 55.2971, -70.8161	260.239, 136.004, -17.6791
52.2331, 46.3505, -77.6887	268.523, 142.07, 349.265
67.1199, 49.9491, -71.954	264.606, 139.448, 346.066
77.3479, 46.4059, -63.2526	-97.7141, -226.064, 341.791
85.6188, 47.6229, -52.1014	255.843, 131.142, -25.2099
72.0835, 54.2879, -77.1602	262.832, 139.446, 344.928
96.8508, 44.6035, -32.8975	247.111, 126.413, 325.764
85.002, 49.6163, -60.9345	260.124, 134.398, -19.5399
