61.9455, 45.46, -71.6263	86.0299, -31.1268, -7.26301
84.97, 41.784, -71.9211	267.658, 214.983, -191.808
63.2208, 43.6862, -79.414	263.846, 209.344, -185.98
50.4754, 42.8274, -83.6432	81.5658, -28.9259, -5.06236
67.8786, 42.3177, -70.6119	264.755, 212.291, -187.504
91.4345, 41.653, -59.4097	269.175, 219.401, -192.827
75.3342, 45.2766, -75.7222	86.7514, -33.0543, -8.43321
62.0882, 41.4692, -75.4777	263.338, 210.411, -185.817
41.9507, 40.9066, -86.9216	261.66, 203.944, -183.972
96.7199, 39.4438, -48.7475	271.73, 222.774, -195.737
